id,eblocal_id,dawa_id,change,geo_change,name,type,zip,population,longitude,latitude,municipality_id,municipality_name,created_at,updated_at
96,10609,12337669-b70a-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Hallundbæk,by,7330,19,9.02968915,55.85243025,756,Ikast-Brande,2022-04-03 17:46:43,2022-04-06 09:59:01
97,10440,12337669-c168-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Lillemølle Huse,by,5882,5,10.7075594,55.10137624,479,Svendborg,2022-04-03 17:46:43,2022-04-06 09:55:42
98,10924,12337669-cba1-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Fladholt,by,9900,9,10.49258267,57.37580294,813,Frederikshavn,2022-04-03 17:46:43,2022-04-06 09:48:20
99,10832,12337669-bafc-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Nøtten,by,9230,13,9.9015949,56.93520473,851,Aalborg,2022-04-03 17:46:43,2022-04-06 08:55:39
100,10743,12337669-b75b-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Abildskov,by,8600,7,9.42256911,56.14956358,740,Silkeborg,2022-04-03 17:46:43,2022-04-06 09:58:51
101,10094,12337669-dd0e-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Åvænget,by,2990,11,12.48367329,55.93197932,210,Fredensborg,2022-04-03 17:46:43,2022-04-06 09:44:24
102,10467,12337669-b051-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Brærå,by,6100,9,9.48469,55.17979447,510,Haderslev,2022-04-03 17:46:43,2022-04-06 09:56:20
103,10311,12337669-d127-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Guderup,by,4700,6,11.68880855,55.26490148,370,Næstved,2022-04-03 17:46:43,2022-04-06 09:54:34
104,10166,12337669-dee2-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Ibsker,by,3740,9,15.10505238,55.11705927,400,Bornholm,2022-04-03 17:46:43,2022-04-06 09:48:43
105,10791,12337669-b862-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Vigstrup,by,8800,2,9.52541963,56.43251851,791,Viborg,2022-04-03 17:46:43,2022-04-06 09:59:29
106,10791,12337669-b978-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Fallesgårde,by,8800,9,9.27205705,56.37191984,791,Viborg,2022-04-03 17:46:43,2022-04-06 09:59:29
107,10808,12337669-b8fe-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Mølhave,by,8883,4,9.75320217,56.22206398,740,Silkeborg,2022-04-03 17:46:43,2022-04-06 09:58:51
108,10874,12337669-b882-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Dremstrup,by,9500,0,9.63652034,56.60153104,791,Viborg,2022-04-03 17:46:43,2022-04-06 09:59:29
109,10311,12337669-d12e-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Lund,by,4700,14,11.65564163,55.27992139,370,Næstved,2022-04-03 17:46:43,2022-04-06 09:54:34
110,10792,12337669-b88b-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Dalsgårde,by,8830,3,9.52232775,56.54379619,791,Viborg,2022-04-03 17:46:43,2022-04-06 09:59:30
111,10792,12337669-b893-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Bigum Huse,by,8830,16,9.64388395,56.5441156,791,Viborg,2022-04-03 17:46:43,2022-04-06 09:59:30
112,10803,12337669-b8ab-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Hollerup,by,8870,10,9.84005009,56.40743806,730,Randers,2022-04-03 17:46:43,2022-04-06 09:58:40
113,10799,12337669-b8a5-6b98-e053-d480220a5a3f,2019-08-13T22:08:18.787Z,2018-09-19T16:01:57.739Z,Rønge,by,8860,21,9.75263832,56.39215422,710,Favrskov,2022-04-03 17:46:43,2022-04-06 09:49:28
114,10620,12337669-b9c4-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Christianshøj,by,7442,2,9.35006779,56.21627987,740,Silkeborg,2022-04-03 17:46:43,2022-04-06 09:58:51
